Var,VarName,VarDesc,VarCat1,VarCat2,VarCat3,VarCat4,VarCat5,VarCat6,VarCat7
WMLS_Volume_701,WML_TOTALBRAIN,,MRI,WML_MUSEROI,MUSEROI_Main,,,,
WMLS_Volume_601,WML_GM,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_604,WML_WM,,MRI,WML_MUSEROI,MUSEROI_Main,,,,
WMLS_Volume_606,WML_GM_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_607,WML_WM_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_613,WML_GM_R,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_614,WML_WM_R,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_501,WML_CORPUS_CALLOSUM,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_502,WML_Cerebellum,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_503,WML_DeepStructures,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_504,WML_FRONTAL,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_505,WML_LIMBIC,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_506,WML_OCCIPITAL,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_507,WML_PARIETAL,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_508,WML_TEMPORAL,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_509,WML_VENTRICLE,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_510,WML_Cerebellum_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_511,WML_DeepStructures_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_512,WML_FRONTAL_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_513,WML_LIMBIC_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_514,WML_OCCIPITAL_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_515,WML_PARIETAL_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_516,WML_TEMPORAL_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_517,WML_VENTRICLE_L,,MRI,WML_MUSEROI,,,,,
WMLS_Volume_518,WML_Cerebellum_R,,MRI,WML_MUSEROI,,,,,
